BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily LR (1-4),47.51897,1,0.16,3.81,24259,Low-Rise Multifamily,1966,DELRIDGE,-122.35561,3,Multifamily Housing,75
Multifamily LR (1-4),47.51907,1,0.24,12.05,49501,Low-Rise Multifamily,2000,DELRIDGE,-122.36822,2,Multifamily Housing,56
Multifamily LR (1-4),47.51996,1,0.74,66.05,89549,Low-Rise Multifamily,1990,DELRIDGE,-122.36712,2,Multifamily Housing,31
Multifamily LR (1-4),47.52,1,0.22,9.29,42816,Low-Rise Multifamily,1967,SOUTHEAST,-122.26034,4,Multifamily Housing,48
Multifamily LR (1-4),47.52141,1,0.16,10.43,64618,Low-Rise Multifamily,1979,DELRIDGE,-122.36426,3,Multifamily Housing,93
Multifamily LR (1-4),47.52175,1,0.27,88.58,332900,Low-Rise Multifamily,1947,SOUTHEAST,-122.26466,2,Multifamily Housing,32
Multifamily LR (1-4),47.52214,1,0.26,10.38,40542,Low-Rise Multifamily,2000,SOUTHEAST,-122.27161,2,Multifamily Housing,60
Multifamily LR (1-4),47.52225,1,0.15,4.7,31499,Low-Rise Multifamily,1988,SOUTHWEST,-122.37718,3,Multifamily Housing,90
Multifamily LR (1-4),47.52241,1,0.19,16.4,87696,Low-Rise Multifamily,1971,SOUTHEAST,-122.2645,4,Multifamily Housing,15
Multifamily LR (1-4),47.52265,1,0.16,5.72,35448,Low-Rise Multifamily,1968,DELRIDGE,-122.35888,3,Multifamily Housing,76
Multifamily LR (1-4),47.52284,1,0.22,6.84,30891,Low-Rise Multifamily,1962,SOUTHEAST,-122.27265,3,Multifamily Housing,48
Multifamily LR (1-4),47.52451,1,0.19,6.53,35122,Low-Rise Multifamily,1981,DELRIDGE,-122.36424,3,NULL,43
Multifamily LR (1-4),47.52481,1,0.25,5.46,21540,Low-Rise Multifamily,1962,SOUTHEAST,-122.26961,4,Multifamily Housing,72
Multifamily LR (1-4),47.52517,1,0.21,10.34,48996,Low-Rise Multifamily,1988,DELRIDGE,-122.36488,4,Multifamily Housing,39
Multifamily LR (1-4),47.52616,1,0.63,14.83,23533,Low-Rise Multifamily,1998,DELRIDGE,-122.36418,3,Multifamily Housing,63
Multifamily LR (1-4),47.52827,1,0.19,4.13,21640,Low-Rise Multifamily,1962,SOUTHEAST,-122.26955,4,Multifamily Housing,89
Multifamily LR (1-4),47.52845,1,0.26,5.35,20645,Low-Rise Multifamily,1953,SOUTHEAST,-122.2708,2,Multifamily Housing,75
Multifamily LR (1-4),47.52888,1,0.33,7.31,22170,Low-Rise Multifamily,1921,SOUTHEAST,-122.26961,3,Multifamily Housing,75
